,,Overall,,Survey Group,,,,Age Group,,,,,,,,,,Grade Level,,,,,,Gender,,,,LGBTQ Identification (Gen Z adults),,,,Race/Ethnicity,,,,,,,,,,Highest Educational Attainment,,,,,,,,,,Highest educational attainment or enrollment,,Parent Educational Attainment,,,,Eligibility for free or reduced-price lunch,,,,Subjective Income (Parent + Child),,,,,,Subjective Income (Gen Z adults),,,,,,Disability Status (Gen Z children),,,,Political Party Identification (Gen Z adults),,,,,,,,Religious Affiliation (Gen Z adults),,,,Census Region,,,,,,,
,,All consenting respondents,,Gen Z K-12 students,,Gen Z adults,,13 to 15,,16 to 18,,19 to 21,,22 to 25,,26 to 28,,Middle school (6th-8th grade),,High school (9th-12th grade),,No longer in K-12,,Female,,Male,,LGBTQ,,Not LGBTQ,,Asian,,Black or African American,,Hispanic,,Multiracial,,White,,Current K-12 student,,High school diploma or less,,"Associate degree or technical, trade, or vocational program",,Bachelor's degree,,Postgraduate degree or coursework,,K-12 student,,At least one parent graduated college,,Neither parent graduated college,,FRPL eligible,,Not FRPL eligible,,Living very well or comfortably on present income,,Getting by on present income,,Finding it difficult on present income,,Living very well or comfortably on present income,,Getting by on present income,,Finding it difficult on present income,,Has a disability,,Does not have a disability,,Democrat,,Independent,,Republican,,Don't know,,Religiously affiliated,,"No religion, atheist, or agnostic",,Northeast,,Midwest,,South,,West,
,,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count,Column N %,Unweighted Count
Overall,All consenting respondents,100%,3793,100%,1687,100%,2106,100%,925,100%,828,100%,147,100%,639,100%,1254,100%,524,100%,1163,100%,2106,100%,1999,100%,1655,100%,582,100%,1401,100%,270,100%,362,100%,685,100%,246,100%,2182,100%,1687,100%,603,100%,186,100%,786,100%,530,100%,1687,100%,2631,100%,1018,100%,652,100%,902,100%,869,100%,638,100%,231,100%,1013,100%,750,100%,254,100%,196,100%,1544,100%,885,100%,649,100%,390,100%,211,100%,1277,100%,940,100%,633,100%,955,100%,1412,100%,792
Life Evaluation Index,Thriving,45%,1909,56%,945,39%,964,59%,549,52%,423,38%,55,37%,269,43%,613,60%,322,54%,623,39%,964,43%,981,50%,897,29%,205,44%,718,41%,128,49%,180,39%,313,45%,116,48%,1148,56%,945,36%,209,36%,66,47%,384,58%,304,56%,945,51%,1415,38%,438,54%,339,60%,548,64%,543,51%,329,40%,92,56%,636,34%,262,11%,35,37%,78,58%,890,37%,410,43%,304,55%,235,30%,68,46%,668,32%,367,42%,332,46%,467,48%,730,43%,379
,Struggling,51%,1763,43%,706,57%,1057,40%,359,46%,386,61%,87,58%,337,52%,594,37%,189,45%,517,57%,1057,54%,959,47%,711,63%,336,54%,652,56%,132,49%,171,57%,348,52%,117,49%,974,43%,706,60%,361,61%,108,49%,374,39%,214,43%,706,47%,1149,58%,542,44%,298,39%,339,35%,312,46%,294,59%,133,43%,367,63%,457,74%,185,58%,107,41%,630,59%,441,52%,314,44%,152,69%,139,52%,579,62%,523,54%,285,51%,456,50%,641,53%,381
,Suffering,3%,97,2%,28,4%,69,1%,12,2%,16,2%,3,5%,25,4%,41,2%,10,1%,18,4%,69,2%,41,3%,44,8%,39,2%,26,3%,8,3%,7,3%,20,3%,11,3%,50,2%,28,4%,24,3%,10,4%,25,2%,10,2%,28,3%,59,4%,35,2%,14,1%,10,1%,10,2%,13,2%,5,1%,8,3%,29,15%,32,5%,11,1%,17,4%,31,6%,31,1%,1,1%,3,2%,26,7%,47,4%,15,4%,25,2%,30,4%,27
,Total,100%,3769,100%,1679,100%,2090,100%,920,100%,825,100%,145,100%,631,100%,1248,100%,521,100%,1158,100%,2090,100%,1981,100%,1652,100%,580,100%,1396,100%,268,100%,358,100%,681,100%,244,100%,2172,100%,1679,100%,594,100%,184,100%,783,100%,528,100%,1679,100%,2623,100%,1015,100%,651,100%,897,100%,865,100%,636,100%,230,100%,1011,100%,748,100%,252,100%,196,100%,1537,100%,882,100%,649,100%,388,100%,210,100%,1273,100%,937,100%,632,100%,948,100%,1401,100%,787
On which step of the ladder would you say you personally feel you stand at this time?,10 Best possible,6%,161,7%,102,5%,59,8%,63,7%,41,3%,6,5%,18,6%,33,9%,41,7%,61,5%,59,5%,83,6%,73,3%,10,5%,45,4%,7,9%,29,7%,44,9%,15,4%,64,7%,102,6%,31,3%,6,2%,9,4%,13,7%,102,6%,112,4%,34,9%,45,6%,53,9%,64,4%,27,7%,11,8%,41,3%,13,2%,3,5%,9,7%,94,3%,17,4%,14,9%,20,6%,10,7%,51,2%,15,3%,17,6%,40,8%,76,4%,27
,9,6%,270,9%,181,4%,89,11%,115,7%,71,4%,6,3%,23,5%,55,12%,69,8%,112,4%,89,5%,131,7%,137,3%,15,5%,73,6%,15,11%,37,5%,38,5%,16,6%,162,9%,181,4%,23,2%,5,5%,39,4%,22,9%,181,8%,211,3%,49,8%,61,10%,106,11%,118,9%,57,3%,11,6%,67,3%,14,0%,3,8%,17,9%,169,3%,32,5%,34,9%,33,4%,6,6%,79,3%,28,7%,41,6%,69,6%,111,5%,49
,8,16%,694,22%,361,12%,333,22%,202,21%,168,10%,14,11%,86,15%,224,23%,115,22%,246,12%,333,14%,344,19%,337,10%,69,14%,254,19%,64,15%,48,15%,121,15%,32,17%,418,22%,361,11%,64,10%,21,17%,145,17%,103,22%,361,18%,520,15%,161,18%,113,26%,221,25%,200,22%,133,15%,36,20%,238,8%,78,2%,8,14%,33,23%,335,11%,145,14%,96,17%,87,10%,23,15%,241,10%,118,14%,121,14%,162,17%,263,18%,148
