"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
,2021,2022,2023,2023,2022,2023,2023
United States,"64,460","66,244","69,810",--,2.8,5.4,--
Metropolitan portion,"66,663","68,517","72,275",--,2.8,5.5,--
Nonmetropolitan portion,"50,550","51,847","54,144",--,2.6,4.4,--
Metropolitan Statistical Areas,,,,,,,
"Abilene, TX","51,995","53,514","56,034",239,2.9,4.7,255
"Akron, OH","59,583","59,609","62,904",130,0.0,5.5,146
"Albany, GA","46,969","46,754","48,546",344,-0.5,3.8,321
"Albany-Lebanon, OR","52,230","54,123","57,016",219,3.6,5.3,167
"Albany-Schenectady-Troy, NY","66,929","67,884","71,972",57,1.4,6.0,87
"Albuquerque, NM","52,372","54,687","57,278",216,4.4,4.7,253
"Alexandria, LA","51,240","51,601","53,765",270,0.7,4.2,303
"Allentown-Bethlehem-Easton, PA-NJ","61,836","62,900","66,493",94,1.7,5.7,117
"Altoona, PA","54,826","55,071","57,782",205,0.4,4.9,231
"Amarillo, TX","55,923","56,643","60,182",167,1.3,6.2,63
"Ames, IA","49,396","54,141","55,770",244,9.6,3.0,366
"Anchorage, AK","67,198","71,166","73,829",50,5.9,3.7,328
"Ann Arbor, MI","70,844","72,867","77,537",36,2.9,6.4,51
"Anniston-Oxford, AL","43,215","42,668","44,737",374,-1.3,4.8,239
"Appleton, WI","59,152","61,306","64,216",115,3.6,4.7,252
"Asheville, NC","55,707","58,103","62,050",144,4.3,6.8,26
"Athens-Clarke County, GA","48,257","51,357","53,221",283,6.4,3.6,338
"Atlanta-Sandy Springs-Alpharetta, GA","63,281","64,840","68,027",85,2.5,4.9,233
"Atlantic City-Hammonton, NJ","57,601","57,267","60,493",162,-0.6,5.6,124
"Auburn-Opelika, AL","45,218","46,140","48,511",347,2.0,5.1,203
"Augusta-Richmond County, GA-SC","49,994","50,248","52,069",298,0.5,3.6,340
"Austin-Round Rock-Georgetown, TX","70,971","75,999","80,471",25,7.1,5.9,97
"Bakersfield, CA","46,934","44,595","47,350",359,-5.0,6.2,69
"Baltimore-Columbia-Towson, MD","70,211","72,580","76,923",38,3.4,6.0,92
"Bangor, ME","50,983","52,179","53,978",266,2.3,3.4,344
"Barnstable Town, MA","84,248","86,325","92,417",11,2.5,7.1,19
"Baton Rouge, LA","56,987","58,423","61,972",146,2.5,6.1,80
"Battle Creek, MI","45,745","46,210","47,947",352,1.0,3.8,326
"Bay City, MI","50,581","49,936","52,579",289,-1.3,5.3,175
"Beaumont-Port Arthur, TX","48,592","48,741","51,459",308,0.3,5.6,134
"Beckley, WV","46,184","47,591","50,178",328,3.0,5.4,156
"Bellingham, WA","58,107","59,169","62,095",142,1.8,4.9,229
"Bend, OR","70,556","75,972","81,025",23,7.7,6.7,36
"Billings, MT","62,153","65,328","68,898",76,5.1,5.5,153
"Binghamton, NY","50,473","49,745","52,659",288,-1.4,5.9,101
"Birmingham-Hoover, AL","60,940","62,993","66,502",93,3.4,5.6,136
"Bismarck, ND","67,193","69,701","72,043",56,3.7,3.4,347
"Blacksburg-Christiansburg, VA","44,712","47,014","50,496",323,5.1,7.4,13
"Bloomington, IL","58,808","59,028","61,174",153,0.4,3.6,337
"Bloomington, IN","52,318","54,178","56,651",228,3.6,4.6,268
"Bloomsburg-Berwick, PA","53,257","53,706","56,534",230,0.8,5.3,183
"Boise City, ID","58,086","61,112","63,689",123,5.2,4.2,301
"Boston-Cambridge-Newton, MA-NH","92,742","95,926","100,880",7,3.4,5.2,200
"Boulder, CO","92,317","95,454","100,242",8,3.4,5.0,221
"Bowling Green, KY","44,199","44,878","47,028",363,1.5,4.8,247
"Bremerton-Silverdale-Port Orchard, WA","66,369","68,389","73,841",49,3.0,8.0,2
"Bridgeport-Stamford-Norwalk, CT","121,905","130,214","139,006",3,6.8,6.8,30
"Brownsville-Harlingen, TX","38,105","36,934","38,523",383,-3.1,4.3,292
"Brunswick, GA","53,262","54,933","57,595",210,3.1,4.8,240
"Buffalo-Cheektowaga, NY","56,855","57,503","61,106",156,1.1,6.3,61
"Burlington, NC","48,449","49,338","51,405",309,1.8,4.2,305
"Burlington-South Burlington, VT","64,575","68,465","71,933",58,6.0,5.1,214
"California-Lexington Park, MD","64,999","66,497","70,353",66,2.3,5.8,109
"Canton-Massillon, OH","52,884","53,757","56,549",229,1.7,5.2,193
